AN;MOIS;JOUR;RR;TM
2003;1;1;3.4;7.2
2003;1;2;0.8;10.9
2003;1;3;0.2;11.0
2003;1;4;2.4;6.1
2003;1;5;0.6;2.0
2003;1;6;1.2;0.6
2003;1;7;1.2;-0.9
2003;1;8;3.4;4.3
2003;1;9;0.0;5.4
2003;1;10;0.0;-0.9
2003;1;11;0.0;-1.7
2003;1;12;0.0;-3.3
2003;1;13;0.0;-2.7
2003;1;14;0.0;1.3
2003;1;15;0.0;2.5
2003;1;16;0.6;5.4
2003;1;17;0.0;3.4
2003;1;18;0.0;6.3
2003;1;19;12.4;7.1
2003;1;20;6.4;6.4
2003;1;21;2.6;8.9
2003;1;22;1.2;8.5
2003;1;23;0.0;7.3
2003;1;24;0.0;5.9
2003;1;25;1.0;2.9
2003;1;26;8.2;6.7
2003;1;27;0.2;9.8
2003;1;28;4.8;8.9
2003;1;29;2.2;4.9
2003;1;30;4.6;3.3
2003;1;31;0.0;1.3
2003;2;1;1.2;2.5
2003;2;2;3.0;7.8
2003;2;3;24.2;9.6
2003;2;4;5.0;5.7
2003;2;5;4.2;3.1
2003;2;6;0.0;1.7
2003;2;7;0.0;2.0
2003;2;8;0.0;3.9
2003;2;9;1.2;5.7
2003;2;10;0.0;5.7
2003;2;11;0.2;4.0
2003;2;12;0.0;6.1
2003;2;13;0.0;4.9
2003;2;14;0.0;1.1
2003;2;15;0.0;-0.5
2003;2;16;0.0;1.3
2003;2;17;0.0;-1.8
2003;2;18;0.0;0.0
2003;2;19;0.0;7.2
2003;2;20;3.0;6.8
2003;2;21;0.0;7.3
2003;2;22;0.0;10.6
2003;2;23;0.0;10.6
2003;2;24;0.0;11.0
2003;2;25;0.0;10.8
2003;2;26;0.0;11.2
2003;2;27;2.2;10.7
2003;2;28;0.0;9.0
2003;3;1;6.2;10.9
2003;3;2;5.4;9.5
2003;3;3;19.8;9.5
2003;3;4;0.0;13.0
2003;3;5;8.2;10.4
2003;3;6;0.8;9.6
2003;3;7;0.0;8.4
2003;3;8;0.0;9.7
2003;3;9;0.0;9.9
2003;3;10;0.0;11.8
2003;3;11;0.0;11.3
2003;3;12;0.0;13.9
2003;3;13;0.2;12.2
2003;3;14;0.0;11.7
2003;3;15;0.0;10.4
2003;3;16;0.0;9.7
2003;3;17;0.0;10.3
2003;3;18;0.0;9.4
2003;3;19;0.0;11.0
2003;3;20;0.0;11.3
2003;3;21;0.0;10.8
2003;3;22;0.0;12.1
2003;3;23;0.0;13.0
2003;3;24;0.0;12.9
2003;3;25;0.0;12.4
2003;3;26;0.0;12.1
2003;3;27;0.0;12.8
2003;3;28;0.0;13.4
2003;3;29;0.0;12.8
2003;3;30;0.0;13.8
2003;3;31;0.0;14.1
2003;4;1;1.2;13.8
2003;4;2;3.4;10.2
2003;4;3;0.0;7.0
2003;4;4;0.0;7.5
2003;4;5;0.0;9.4
2003;4;6;0.0;11.3
2003;4;7;0.0;8.6
2003;4;8;0.0;9.9
2003;4;9;4.6;9.6
2003;4;10;0.0;8.5
2003;4;11;3.6;8.4
2003;4;12;0.0;10.7
2003;4;13;0.0;13.4
2003;4;14;0.0;14.8
2003;4;15;0.0;15.1
2003;4;16;0.0;16.1
2003;4;17;0.0;16.6
2003;4;18;0.0;17.5
2003;4;19;4.0;15.6
2003;4;20;1.0;12.6
2003;4;21;0.0;14.8
2003;4;22;0.0;16.0
2003;4;23;0.0;16.1
2003;4;24;0.0;18.5
2003;4;25;0.0;17.9
2003;4;26;3.0;14.9
2003;4;27;0.0;16.0
2003;4;28;0.0;17.1
2003;4;29;0.0;16.6
2003;4;30;0.0;15.2
2003;5;1;0.0;14.9
2003;5;2;0.0;17.1
2003;5;3;0.0;15.3
2003;5;4;0.0;19.2
2003;5;5;5.4;16.4
2003;5;6;3.6;10.9
2003;5;7;0.6;14.2
2003;5;8;0.0;15.0
2003;5;9;0.0;14.5
2003;5;10;0.0;13.7
2003;5;11;0.6;15.3
2003;5;12;0.0;16.6
2003;5;13;0.0;15.5
2003;5;14;0.0;12.4
2003;5;15;0.0;13.4
2003;5;16;3.6;16.0
2003;5;17;0.0;16.4
2003;5;18;0.0;20.5
2003;5;19;0.0;17.4
2003;5;20;0.2;14.5
2003;5;21;0.0;14.4
2003;5;22;0.0;18.2
2003;5;23;0.0;21.7
2003;5;24;4.6;13.5
2003;5;25;1.4;13.2
2003;5;26;1.4;12.5
2003;5;27;0.0;17.3
2003;5;28;0.0;20.0
2003;5;29;0.0;23.7
2003;5;30;0.0;25.2
2003;5;31;0.0;23.3
2003;6;1;2.2;21.9
2003;6;2;0.0;20.5
2003;6;3;0.2;22.3
2003;6;4;0.2;23.0
2003;6;5;2.2;19.2
2003;6;6;0.0;21.4
2003;6;7;0.0;23.3
2003;6;8;0.0;21.3
2003;6;9;0.0;23.8
2003;6;10;0.0;24.8
2003;6;11;0.0;25.7
2003;6;12;0.0;25.3
2003;6;13;0.0;27.5
2003;6;14;0.0;29.3
2003;6;15;0.0;25.7
2003;6;16;31.8;25.4
2003;6;17;0.0;21.5
2003;6;18;0.0;20.8
2003;6;19;0.0;23.2
2003;6;20;0.0;27.1
2003;6;21;0.0;29.2
2003;6;22;0.0;28.3
2003;6;23;0.0;24.7
2003;6;24;0.0;26.6
2003;6;25;0.0;25.0
2003;6;26;0.0;22.5
2003;6;27;0.0;21.4
2003;6;28;0.0;23.8
2003;6;29;0.0;26.4
2003;6;30;0.6;24.3
2003;7;1;0.0;22.4
2003;7;2;0.2;20.0
2003;7;3;0.0;19.5
2003;7;4;0.0;19.7
2003;7;5;0.0;21.2
2003;7;6;0.0;23.1
2003;7;7;0.0;24.1
2003;7;8;0.0;25.9
2003;7;9;0.0;25.1
2003;7;10;0.0;26.0
2003;7;11;0.0;27.5
2003;7;12;0.0;28.5
2003;7;13;0.0;29.3
2003;7;14;0.0;25.1
2003;7;15;0.0;26.9
2003;7;16;0.0;22.4
2003;7;17;0.0;22.5
2003;7;18;0.0;26.9
2003;7;19;0.0;27.3
2003;7;20;0.0;25.5
2003;7;21;0.0;25.0
2003;7;22;0.0;24.6
2003;7;23;1.6;24.4
2003;7;24;0.2;23.0
2003;7;25;0.0;25.6
2003;7;26;0.0;27.5
2003;7;27;0.0;23.0
2003;7;28;0.0;21.8
2003;7;29;0.0;23.0
2003;7;30;0.0;24.0
2003;7;31;0.0;22.4
2003;8;1;0.0;24.3
2003;8;2;0.0;27.1
2003;8;3;0.0;29.9
2003;8;4;0.0;31.7
2003;8;5;0.0;31.8
2003;8;6;0.0;30.0
2003;8;7;1.6;29.5
2003;8;8;0.2;29.4
2003;8;9;0.0;30.8
2003;8;10;0.0;30.2
2003;8;11;0.0;28.8
2003;8;12;0.0;31.5
2003;8;13;0.0;31.2
2003;8;14;0.2;27.5
2003;8;15;0.0;23.8
2003;8;16;15.0;24.8
2003;8;17;1.8;21.5
2003;8;18;0.0;25.6
2003;8;19;0.0;27.1
2003;8;20;0.0;24.1
2003;8;21;0.0;24.1
2003;8;22;0.0;25.6
2003;8;23;0.0;27.6
2003;8;24;5.4;25.6
2003;8;25;0.0;24.6
2003;8;26;0.0;24.9
2003;8;27;0.2;27.2
2003;8;28;0.8;22.7
2003;8;29;0.0;23.0
2003;8;30;2.6;21.3
2003;8;31;0.0;20.1
2003;9;1;0.0;21.1
2003;9;2;0.0;20.3
2003;9;3;0.0;19.3
2003;9;4;1.0;21.5
2003;9;5;2.4;21.3
2003;9;6;0.2;20.5
2003;9;7;12.0;17.3
2003;9;8;7.8;17.3
2003;9;9;1.8;16.0
2003;9;10;0.0;18.1
2003;9;11;0.4;19.5
2003;9;12;1.2;20.6
2003;9;13;0.0;20.9
2003;9;14;0.0;20.0
2003;9;15;0.0;20.8
2003;9;16;0.0;20.9
2003;9;17;0.0;20.8
2003;9;18;0.0;21.4
2003;9;19;0.0;21.8
2003;9;20;0.0;22.2
2003;9;21;0.0;22.8
2003;9;22;6.0;20.6
2003;9;23;0.0;17.7
2003;9;24;0.0;15.3
2003;9;25;0.0;17.3
2003;9;26;0.0;20.0
2003;9;27;2.0;19.0
2003;9;28;0.0;18.2
2003;9;29;0.0;18.2
2003;9;30;0.0;19.1
2003;10;1;0.0;23.0
2003;10;2;0.0;22.2
2003;10;3;1.0;19.1
2003;10;4;9.8;15.5
2003;10;5;0.6;11.6
2003;10;6;0.0;10.2
2003;10;7;2.4;13.3
2003;10;8;0.0;15.7
2003;10;9;0.0;16.2
2003;10;10;0.2;14.5
2003;10;11;0.0;14.9
2003;10;12;0.0;18.5
2003;10;13;1.8;16.7
2003;10;14;0.0;17.8
2003;10;15;0.0;17.2
2003;10;16;0.2;16.5
2003;10;17;1.4;13.6
2003;10;18;0.0;14.3
2003;10;19;3.0;13.8
2003;10;20;0.0;14.6
2003;10;21;0.0;9.6
2003;10;22;9.2;9.8
2003;10;23;0.0;8.4
2003;10;24;0.6;5.2
2003;10;25;0.0;3.6
2003;10;26;7.6;4.9
2003;10;27;0.0;8.3
2003;10;28;2.4;11.2
2003;10;29;4.8;10.8
2003;10;30;3.0;10.8
2003;10;31;4.0;10.4
2003;11;1;1.8;10.6
2003;11;2;0.0;10.1
2003;11;3;0.2;10.1
2003;11;4;0.0;11.4
2003;11;5;0.0;13.7
2003;11;6;0.0;12.2
2003;11;7;0.0;9.1
2003;11;8;1.6;9.4
2003;11;9;0.6;14.8
2003;11;10;0.0;13.7
2003;11;11;0.4;12.6
2003;11;12;1.4;11.2
2003;11;13;0.0;10.3
2003;11;14;0.4;8.9
2003;11;15;0.2;11.4
2003;11;16;3.8;13.5
2003;11;17;0.0;8.1
2003;11;18;0.0;5.7
2003;11;19;0.0;7.6
2003;11;20;0.0;12.0
2003;11;21;0.0;14.7
2003;11;22;0.0;15.3
2003;11;23;4.2;16.7
2003;11;24;2.8;11.7
2003;11;25;1.0;9.7
2003;11;26;11.0;8.7
2003;11;27;4.4;7.3
2003;11;28;0.0;7.5
2003;11;29;10.0;7.3
2003;11;30;5.0;11.4
2003;12;1;8.4;8.3
2003;12;2;0.8;7.6
2003;12;3;35.0;6.3
2003;12;4;4.0;8.6
2003;12;5;0.0;12.0
2003;12;6;0.0;10.4
2003;12;7;0.2;6.0
